epoch,pde_air,pde_grat,pde_sub,E_int,H_int,top,bottom,total
1,1288.2591336340274,14150.017658879364,2486.5226581245656,1.3990961947575982,1.6146343544226143,1.5506770229092075,1.5737505196228043,19158.88606897286
100,1.0879808568056946,12.228310695262975,4.391435228484169,0.006079492965453247,0.0034586215740735737,0.0001972354528926226,0.0025505614708556,19.015212108037392
200,0.3312217965572794,5.7829171502486405,2.351964968395066,0.0036038555785110637,0.0020130254401518914,5.055235698223387e-05,0.0014219463319347628,9.195262828751874
300,0.18745314076451058,3.841019194912725,2.074214474276798,0.003122190557528545,0.0015180648154452003,3.4230614049781016e-05,0.000697416414579159,6.653569295734214
400,0.13822977805202072,2.8386546411106486,1.4179948091021373,0.001387453482599587,0.0007497127794063712,1.8649977755778666e-05,0.0005364735143955996,4.671568194782852
500,0.24194165876854093,9.496846949601634,5.010380485374003,0.001029950262819547,0.0006886993941168456,2.214837857294806e-05,0.0004527109124929211,14.977379339973583
600,0.10843793974841544,2.1396639604368612,1.6183284104565576,0.0008021908225610812,0.00040292854492711096,3.166466269122988e-05,0.0002840745994058235,4.03118203867685
700,0.08053991945110235,1.1829251670479917,1.1460828169670159,0.00038114113310826816,0.00016150528598779805,5.0203615683089855e-06,0.00015307627504605127,2.481630353664476
800,0.061502306815413875,0.6456590960083686,1.0524365633145065,0.0002660284864306252,0.0001162603630897131,2.8757719025019303e-05,5.2695992151257794e-05,1.8174753098179581
900,0.04868846611989853,0.5452580902857594,0.6958823749974328,0.00017732378598914398,7.291022627957296e-05,4.506575496574198e-06,8.259560913937981e-05,1.3253651812921872
1000,0.07752938086462101,1.9376082600651239,5.027132631524453,0.00021895445921844055,9.621836427603094e-05,4.25618003102244e-06,4.512005700635516e-05,7.080427650519792
1100,0.04587056826805364,0.6286814803299535,1.522404128887073,0.00015579610948263724,0.00010179158872323066,5.94239195785912e-06,0.0002024832758059768,2.2459344708651945
1200,0.035123011165201674,0.3809552535617415,1.052285914117335,9.92391095302573e-05,6.382524577085643e-05,1.492715411554887e-06,4.051039164630778e-05,1.4894680112447978
1300,0.027847856796589892,0.31016244984973945,0.7573542101689807,0.00013185798489053017,0.00028641277144954866,0.0002101620883502969,0.00026503776445886533,1.2687764130703532
1400,0.023827933821814678,0.23192941500622619,0.5830753790262033,0.00037301995288643674,8.542759593042653e-05,1.92820423992403e-06,0.0002195375950663159,0.9075953443625241
1500,0.03877583592584367,0.7423942015923206,2.6562456624691895,0.0003164882561819734,7.820835735862026e-05,3.1794451327918947e-06,0.00014757854561618783,3.4932329384694283
1600,0.024192704853780434,0.22977635772425956,0.6924882400987071,0.00028404137041282353,4.241519212726523e-05,3.1699152643204125e-06,0.00029708139139733136,1.0103960557026492
1700,0.01947576291297426,0.15440344247016557,0.43113707521548766,0.00018031323211740319,4.808213261045378e-05,2.1793991124894288e-06,0.00024538826616538533,0.6534843432441964
1800,0.01646849285843854,0.10760836037057424,0.2898043802877767,0.00014695961962642013,6.922869611802461e-05,3.228407746196516e-06,0.00020330057653953026,0.4574443266182852
1900,0.014334919309494447,0.0819724975129832,0.20247697716340415,0.00012736498299621704,3.119236855203663e-05,3.328830189780658e-06,0.00013576022739982284,0.32988056697557977
2000,0.02226827523811058,0.18821972498012055,0.8394967201154618,3.6282905129099346e-05,4.048488938609154e-05,1.1787487107895132e-06,3.4527351116321513e-05,1.0617036092522392
2100,0.015018876619710061,0.10126141078035106,0.18961404947760555,2.1606283465136532e-05,1.7151089206190017e-05,1.2565164624665891e-06,7.5475623075758445e-06,0.3111530886067902
2200,0.014846370539731915,0.06370215833166971,0.10932616603416805,3.5718740379580485e-05,6.351388328473663e-05,6.4958302797363825e-06,7.458091620221223e-06,0.2017916815738917
2300,0.011908512275189923,0.04759747215081133,0.08434084159254501,1.0477119590549704e-05,2.41705844827773e-05,3.7237801877158873e-06,2.599204410300893e-05,0.1517726909300378
2400,0.010627885134677897,0.04096905897486052,0.057658611988512944,1.1431108177682864e-05,5.757369571223577e-05,5.0997488722117725e-06,2.2764729307420103e-05,0.12098238385389112
2500,0.01906881993733285,0.07244884599690975,0.31746780734150826,7.89868612505558e-06,5.945247641739639e-05,2.4356171620321612e-06,1.7465327966219384e-05,0.4186849309076341
2600,0.012609304116114448,0.05760705597904322,0.04285171502977069,2.5417836062262008e-05,3.950059147106534e-06,1.2557612859596643e-07,8.655743846547753e-06,0.11693322709481797
2700,0.011419925500787305,0.03773739421710368,0.029928128552643523,4.426151034092113e-06,3.5582685540961755e-06,1.8010190369892532e-07,1.698694950031269e-06,0.08014381067620593
2800,0.012104448861183663,0.03644250998108288,0.023006057642703758,5.676164730600138e-05,6.304270396547583e-05,1.3923296356722945e-06,3.01620265385609e-05,0.08724581908381025
2900,0.010178347053338688,0.022323925417331195,0.01935246838792151,0.00010564143975883239,1.4426616425043375e-05,3.5713215576377035e-07,1.7530166358034068e-05,0.06579312919066425
3000,0.01585647416353942,0.037170505444027106,0.3729674437930588,5.0207864138781306e-05,7.173076459803081e-06,2.939275695095297e-07,7.640083402367482e-06,0.4326434895854753
3100,0.011715003061158809,0.020502427538653088,0.049543152572419674,5.825365993809119e-05,1.0579550271771811e-05,4.1345087111928037e-07,9.04544063480005e-06,0.08975517369225751
3200,0.010719218328239159,0.016116570363140587,0.035965711404942736,4.2120059028669414e-05,7.476529977418904e-06,3.6476058884418163e-07,6.618586409271229e-06,0.06860539793228053
3300,0.010067790005103855,0.013029984361258592,0.02884902332401688,2.7211412668362868e-05,5.074209501949256e-06,2.920214661298592e-07,4.1049807606611306e-06,0.05573186871654158
3400,0.009583898154155527,0.011846822008702884,0.024194100367508593,2.4967757262353267e-05,4.410891157741102e-06,2.9947544895441527e-07,3.898480078339025e-06,0.04910227110468755
3500,0.01488508882519454,0.021771220734842833,0.06146601013877665,1.7217190722596924e-05,3.1315045739489932e-06,2.185589774946217e-07,2.4330694382505663e-06,0.10050977566104098
3600,0.010822262306111214,0.010532973794923376,0.018320283528898803,2.286118159992567e-05,3.379355378594517e-06,3.4450602888309204e-07,3.746684036761814e-06,0.04284649474590314
3700,0.009873332580069281,0.00909548694142291,0.014048144336649976,1.14505575540221e-05,2.1902949952760114e-06,1.4997609717804114e-07,4.202479586819802e-06,0.03487628512034298
3800,0.009250300616754496,0.008527824331596642,0.011539430313827684,1.3799154033885516e-06,8.573556810192517e-07,6.131988037183314e-08,3.4462391119131486e-07,0.029606404701924653
3900,0.008755782644695105,0.0069300319307321265,0.009845332737264597,1.0257185960793192e-06,7.945405461756834e-07,9.548129678989898e-08,3.295647138261994e-07,0.0257938703466949
4000,0.014859146325161943,0.014033182049690722,0.04581223892185685,1.2431866795734238e-06,8.017824197854312e-07,6.574582665839812e-08,2.3425870506055893e-07,0.07496536299048065
4100,0.01058576609716731,0.005893532843232544,0.014955229224277014,2.014502518521309e-06,1.2161194759438608e-06,2.429496212227154e-07,4.3987819316003015e-07,0.03192305299405075
4200,0.009715425593661122,0.004934027365484557,0.011136477892206051,1.3460876423085097e-06,6.093921501017401e-07,4.781570977655204e-08,3.097568950549178e-07,0.02603636237498652
4300,0.0093536641453216,0.004351574357101952,0.00976237239353732,2.4457592043419597e-06,6.323243680628918e-07,5.220578479504117e-08,2.669141235286335e-07,0.02382821355795174
4400,0.00907672513902767,0.003936400750157881,0.008930542273448834,2.1490175408112075e-06,5.729828819881414e-07,5.4925684270726676e-08,2.396254627760566e-07,0.022267293593327287
4500,0.01418052899970886,0.011249366653702068,0.05314183864322009,1.5848759396805168e-06,5.179519557314005e-07,4.789984989227648e-08,1.838901767367729e-07,0.07882435602879204
4600,0.010974578292593592,0.004733368159644182,0.02000194108465462,1.9218341884437837e-06,1.744008980629505e-06,5.0303579895725675e-08,8.237463324542146e-07,0.036183998276993014
4700,0.010338835529463351,0.004035677307007226,0.016083056947500493,1.4025465409673522e-06,1.156823922648368e-06,3.8202393604530614e-08,6.639885303916439e-07,0.030799006880174073
4800,0.010121499085517778,0.0038224110109850856,0.014873912950397083,1.271177910766643e-06,1.0185796697255372e-06,3.7448339994083906e-08,6.157876925168897e-07,0.0291271017441979
4900,0.010051922867914632,0.0037549194386411675,0.014496001976422082,1.231614466942077e-06,9.790498073002569e-07,3.721367864721813e-08,6.011581613694718e-07,0.028602633365862665
5000,0.012611054398459276,0.012880461385807977,0.02306020885613198,1.362856768571354e-06,1.1074069510783625e-06,4.4166013900048164e-08,5.882293702951788e-07,0.04887965695634375
