epoch,pde_air,pde_grat,pde_sub,E_int,H_int,top,bottom,total
1,1288.2591336340274,198594.4940882152,1802.2453098277294,1.3990961947575982,1.6146343544226143,1.5506770229092075,1.5737505196228043,202919.0851500119
100,1.8713693932083144,136.99414702766128,4.599710944478731,0.008671785502389819,0.006492174675154974,0.00043376006405274954,0.005805794125747283,145.77908282770392
200,0.5350072900180672,32.378463713646575,2.4095040058761876,0.0023639283314548453,0.001528116522486166,7.85589714262858e-05,0.0010490469171040534,35.856363672358476
300,0.26025893722138727,17.559781009819982,1.7771900963494238,0.001330656803348461,0.0008337006762383965,0.00024407825999992047,0.0006613542886463246,20.001840350214074
400,0.17070408997800848,10.456313692429022,1.3832051678938235,0.0012587189368856902,0.0008455256844361906,2.3759792289101107e-05,0.00046942399922176984,12.27946970849977
500,0.2612975406775464,19.19307882729225,4.199577307967631,0.001252703386964189,0.001083468628110526,6.70642425604606e-05,0.0004917839787788407,23.970281396603017
600,0.112675833097922,6.084708583409918,1.6212369586634328,0.001564765388918223,0.0009658989032098025,2.4210254052274505e-05,0.0006674316271572118,8.150536094125933
700,0.07045407499566401,4.5148343765057195,1.1436877548659752,0.0012288437399839028,0.0009023213612182002,3.397217088572864e-05,0.0005169387735064861,6.010772679281081
800,0.04773994445622463,2.749986083656934,0.8133603639241761,0.0008584351697769451,0.0005659908554093604,1.386740948044688e-05,0.0003124782420101765,3.7917105234972066
900,0.047869618847742844,2.797494294117557,0.7439574055624348,0.0005680513003220556,0.0006377161839325581,9.484882895557698e-06,0.00023606871914206751,3.7382473803151814
1000,0.058929443427899665,5.118676009340943,3.6209726054904112,0.0005076736086846457,0.0003900203382695809,7.665960177197834e-06,0.0002986395633662761,8.922044389379904
1100,0.02591187360093984,1.9888057683240803,1.002293906929856,0.0006540421932354709,0.000480408191937607,1.2720062428505963e-05,0.00022204373815680226,3.159020992402117
1200,0.019342092792369484,1.344742540878115,0.7273930916351975,0.0002504983913666798,0.00029270035727382816,3.828014457416157e-06,0.00016701200444968554,2.164412807843409
1300,0.02164352294961483,1.1912243653194803,0.5269351984780339,0.00023092416453372245,0.0007372207519671412,2.9717208872765596e-06,4.848723329905767e-05,1.8429521621707594
1400,0.013070258429872972,0.774430625248908,0.38414202161595984,0.00013417272222731132,0.0001259351703994769,1.8986783899296415e-06,6.045940969441351e-05,1.2046489747218256
1500,0.025386660755577873,2.526984490454788,2.2478449798714806,8.723035550933055e-05,0.0001551478189857846,2.3614057997861943e-06,4.3898879721144935e-05,4.8300245394033645
1600,0.01576716429353788,0.688704210275293,0.44644089270251125,0.00012740828938431216,0.0001087731137141621,5.789758026467193e-06,3.929628505777267e-05,1.1813549151002003
1700,0.012154693828195848,0.4848540009789972,0.24096123330161467,6.19762899237921e-05,6.212376627846717e-05,5.167144012243328e-06,4.7303688981844624e-05,0.7576938746333397
1800,0.010380308194808499,0.49132698821998977,0.17307462958284905,0.0002504065284666931,0.00012184863974262863,3.6079074806219456e-06,0.00013000795999245743,0.7268121925581362
