label,period_over_lambda,duty_cycle,ridge_height,n_ridge,n_substrate,theta_deg,kx_inc_over_k0,pm1_in_air_propagating,pm1_in_sub_propagating,g_norm,frac_pm1,d_t_pm1_along_g,pm1_subspace_rank,pm1_sigma_max,is_obstructed,r4_norm,r5_norm,r_grat_norm,pde_air_frac_pm1,pde_grat_frac_pm1,pde_sub_frac_pm1,top_DtN_frac_pm1,bottom_DtN_frac_pm1
baseline_L0p8_dc0p4_h0p2_n1p5_0deg,0.8,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,False,True,1.268129943220658,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L0.4,0.4,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,False,False,1.0738588956855983,0.0,0.0,4,3.2041079703170164e-10,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L0.6,0.6,0.4,0.2,1.5,1.45,0.0,0.0,False,False,1.0738600176257298,0.0,0.0,4,0.0004027577002238403,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L0.8,0.8,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,False,True,1.268129943220658,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L1.0,1.0,0.4,0.2,1.5,1.45,0.0,0.0,False,True,1.4088622208309702,0.0,0.0,4,5.382535794247821,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L1.2,1.2,0.4,0.2,1.5,1.45,0.0,0.0,True,True,1.479556164219635,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L1.5,1.5,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,True,True,1.576752759519076,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L2.0,2.0,0.4,0.2,1.5,1.45,0.0,0.0,True,True,1.6823834111290217,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
period_L3.0,3.0,0.4000000000000001,0.2,1.5,1.45,0.0,0.0,True,True,1.8264820799669628,0.0,0.0,4,5.38253579424782,True,0.2774420076521798,0.1975118696112329,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.15,0.8,0.15,0.2,1.5,1.45,0.0,0.0,False,True,0.5133183113668558,0.0,0.0,4,5.38253579424782,True,0.17638296180868113,0.11128085246964618,0.20855305642155864,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.25,0.8,0.25,0.2,1.5,1.45,0.0,0.0,False,True,0.6814689775361588,0.0,0.0,4,5.38253579424782,True,0.19862396428946555,0.13616542855525238,0.2408163265306122,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.35,0.8,0.3499999999999999,0.2,1.5,1.45,0.0,0.0,False,True,1.1167134518134516,0.0,0.0,4,5.38253579424782,True,0.25009514555750917,0.19733043007868942,0.3185700558220628,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.45,0.8,0.45,0.2,1.5,1.45,0.0,0.0,False,True,1.5232306875480273,0.0,0.0,4,5.38253579424782,True,0.3081902382507742,0.22360687569074678,0.3807640447957843,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.55,0.8,0.55,0.2,1.5,1.45,0.0,0.0,False,True,1.6608349700818898,0.0,0.0,4,5.38253579424782,True,0.31600422254683624,0.24417353444372358,0.39934869924687455,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.65,0.8,0.65,0.2,1.5,1.45,0.0,0.0,False,True,1.8746558032190317,0.0,0.0,4,5.38253579424782,True,0.35214456316937154,0.2539091211088573,0.4341378066375006,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.75,0.8,0.7500000000000001,0.2,1.5,1.45,0.0,0.0,False,True,2.2008684528162825,0.0,0.0,4,5.38253579424782,True,0.37561157115929666,0.3014729840400932,0.4816326530612243,0.0,0.0,0.0,0.0,0.0
duty_cycle_dc0.85,0.8,0.85,0.2,1.5,1.45,0.0,0.0,False,True,2.2008684528162825,0.0,0.0,4,5.38253579424782,True,0.37561157115929666,0.3014729840400932,0.4816326530612243,0.0,0.0,0.0,0.0,0.0
ridge_height_h0.05,0.8,0.4000000000000001,0.05,1.5,1.45,0.0,0.0,False,True,6.076695839978802,0.0,0.0,4,6.541968978301228,True,0.33734572717940137,0.046721157960796976,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
ridge_height_h0.10,0.8,0.4000000000000001,0.1,1.5,1.45,0.0,0.0,False,True,2.6882690790901846,0.0,0.0,4,6.2114582671275,True,0.3318901127946221,0.07638035923305053,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
ridge_height_h0.15,0.8,0.4000000000000001,0.15,1.5,1.45,0.0,0.0,False,True,1.7245356762045123,0.0,0.0,4,5.8292840029321775,True,0.30995152775054413,0.1411207167374816,0.3405657150204595,0.0,0.0,0.0,0.0,0.0
