metric,value
experiment,pm1_auxiliary_loss_w1.0
git_commit,1a0e7e499837ffb2dc23d7633b4ecda882a65562
canonical_sha256,82fbd541425c6d7914678e1cca94a9915e529e4e816c9f969100281ad7d369d5
canonical_sha_ok,True
companion_sha256,3a58df7b98c3c403943dd088845479997c33ce3503962c578deadfce132c6c2a
companion_sha_ok,True
model_config_hash,8399ba133fed39af6d1a9874b93cc9d806139a88071d5c950d9d5410ca18ebad
param_order_hash,e9ff9446ba263d6fea31ab0596378b5a667d688aa9dcbb9a9ff10143b52b16c1
feature_scale_hash,9a408de6497ad81f38ca74e6949d463a850a49c29d9a91d980be9404b5ed4156
seed,42
confirm_seed,43
w_pm1,1.0
epochs,600
modal_data_loss_weight,0.0
optical_coupling,False
phase5_passed,False
seed42_best_t_minus1,0.01900642321913388
seed42_best_t_plus1,0.0
seed42_best_epoch,600
seed42_RT_at_best,1.0053676419152249
seed43_best_t_minus1,0.01900642321913388
seed43_best_epoch,600
seed43_RT_at_best,1.0053676419152249
seed43_reproduced,True
rcwa_t_minus1,0.04941078619316998
rcwa_t_plus1,0.04941078619256938
rcwa_t0,0.8128938319277009
target_t_pm1,0.049410786
baseline_t_pm1,0.00638
improvement_factor,2.9790632004912037
fraction_of_target,0.38466142228811906
t_minus1_amp_error,0.0304043629740361
t_minus1_frac_of_rcwa,0.38466142078429677
