epoch,total,score,R_plus_T,t_minus1,t_plus1,total_complex_l2,scattered_complex_l2,loss_pde_air_0,loss_pde_air_1,loss_pde_air_2,loss_pde_air_3,loss_pde_air_4,loss_pde_air_5,loss_pde_ridge_0,loss_pde_ridge_1,loss_pde_ridge_2,loss_pde_ridge_3,loss_pde_ridge_4,loss_pde_ridge_5,loss_pde_substrate_0,loss_pde_substrate_1,loss_pde_substrate_2,loss_pde_substrate_3,loss_pde_substrate_4,loss_pde_substrate_5,loss_horizontal_E,loss_horizontal_Hx,loss_vertical_E,loss_vertical_Hz,loss_top_DtN,loss_bottom_DtN,grad_pde_air_0,grad_pde_air_1,grad_pde_air_2,grad_pde_air_3,grad_pde_air_4,grad_pde_air_5,grad_pde_ridge_0,grad_pde_ridge_1,grad_pde_ridge_2,grad_pde_ridge_3,grad_pde_ridge_4,grad_pde_ridge_5,grad_pde_substrate_0,grad_pde_substrate_1,grad_pde_substrate_2,grad_pde_substrate_3,grad_pde_substrate_4,grad_pde_substrate_5,grad_horizontal_E,grad_horizontal_Hx,grad_vertical_E,grad_vertical_Hz,grad_top_DtN,grad_bottom_DtN,weight_pde_air_0,weight_pde_air_1,weight_pde_air_2,weight_pde_air_3,weight_pde_air_4,weight_pde_air_5,weight_pde_ridge_0,weight_pde_ridge_1,weight_pde_ridge_2,weight_pde_ridge_3,weight_pde_ridge_4,weight_pde_ridge_5,weight_pde_substrate_0,weight_pde_substrate_1,weight_pde_substrate_2,weight_pde_substrate_3,weight_pde_substrate_4,weight_pde_substrate_5,weight_horizontal_E,weight_horizontal_Hx,weight_vertical_E,weight_vertical_Hz,weight_top_DtN,weight_bottom_DtN
100,0.009483670735313579,1.0859354844076805,1.0007672829974523,0.006316798093693327,0.006369408506952949,0.04704760936544108,0.9990328356251351,5.809025610881185e-38,3.1602890115368726e-38,2.176845642054984e-37,2.5762727232220704e-38,1.0910827998448086e-07,1.1410385056119177e-07,8.632536638851174e-39,1.7127499399668795e-38,2.5886130479533773e-39,2.5886130479533773e-39,0.002752115741671411,0.001846720497883077,9.67142568913845e-40,2.4458375500202503e-39,6.084101620466918e-40,1.618824827538887e-39,4.2351139807573634e-07,2.977298446095285e-07,2.196149154295057e-06,5.206784769879754e-06,6.729463393631999e-14,1.7991238574774764e-14,8.380965689100341e-08,6.387452369017903e-07,0.0,0.0,0.0,0.0,0.00035709859266702573,0.00038254960398419674,0.0,0.0,0.0,0.0,0.4159276381451641,0.3207653120456954,0.0,0.0,0.0,0.0,0.0013596550308114152,0.0009813887490699267,0.008298343459997547,0.016479640127824206,1.7028772990344678e-10,6.310453475949611e-11,0.00020136672952623326,0.007860393538393774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.005861367912665961,1.091802176653906,1.0010193848791846,0.0062077769614512345,0.006258932204568376,0.04730168131943826,1.0044279285550017,1.4496304815020286e-37,1.6346718316122436e-38,1.0405420892181194e-36,9.503256420954214e-38,9.331165378548131e-08,9.848997920755013e-08,7.714181677271262e-39,8.827687068186905e-39,3.5191649113667726e-39,8.130356110788018e-39,0.002748098546061376,0.0018164100178756002,3.925967460754124e-39,4.606168945725105e-39,2.8583798179174765e-39,5.958007179453113e-39,1.3813072313803503e-06,1.1022971899178363e-06,4.5229094392080477e-07,1.5952342595866617e-06,1.1337342966175797e-13,2.0905316214223055e-14,4.318067958113066e-08,1.0011938033415793e-07,0.0,0.0,0.0,0.0,0.0003313276945769819,0.0003410787242109392,0.0,0.0,0.0,0.0,0.3999573061881492,0.3111698627010233,0.0,0.0,0.0,0.0,0.0025496227854252683,0.0020316710202182447,0.0036448522730433155,0.013002700538623489,2.446947483247747e-10,5.221374239978693e-11,0.00013940174547221693,0.0030031716290297894,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,0.005406513312664128,1.1032015642228814,1.001321963072493,0.006156047780787792,0.006220680231888674,0.047820027600051114,1.0154347567773256,2.8597573503598463e-37,3.324444960919282e-38,4.247047314196501e-37,1.2349348757105473e-36,1.2451459033814982e-07,1.329681860453996e-07,3.678298607053042e-38,5.601983202257807e-38,1.195027330376204e-38,3.961123236627105e-39,0.0026340205788897672,0.001631022863767455,2.0617068887469027e-38,1.3224490812954168e-38,5.1140891922981356e-39,7.599387307073773e-39,2.7171352841533014e-06,2.4182766387605987e-06,3.904924400146711e-07,1.3882196776426649e-06,3.1596455564357584e-13,6.505485764812119e-14,5.88454757047417e-08,8.967263897306406e-08,0.0,0.0,0.0,0.0,0.00037526097791638343,0.0003880823029313342,0.0,0.0,0.0,0.0,0.3798229131229965,0.289632846170147,0.0,0.0,0.0,0.0,0.003280606109546757,0.0029151705377226276,0.0032448914364678503,0.011860682034148865,4.09132235665429e-10,1.199134012687599e-10,0.0001594015241843487,0.00255650257158687,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,0.004668362291871831,1.132812621105107,1.001644601291044,0.00614923639981928,0.006225014100139924,0.04919919500079762,1.0447206979282828,2.7486650986012263e-37,6.702156303272233e-37,1.0946791142032552e-37,1.751946477670812e-36,1.5228526590642258e-07,1.5692237979912292e-07,3.1407739686032994e-38,7.787650074197655e-38,2.373947575684073e-38,1.6576307056517414e-38,0.002533117210912277,0.001443343434278231,3.1419219123052743e-38,1.1548358483418253e-38,9.596809348510082e-39,4.431062689623076e-38,5.266364862746487e-06,5.144559253865178e-06,3.4132158343725997e-07,7.761709551225447e-07,7.255991356721697e-13,1.6515220138721694e-13,7.314634610923518e-08,7.176106476659659e-08,0.0,0.0,0.0,0.0,0.00040712636289635886,0.0004130073109076202,0.0,0.0,0.0,0.0,0.3620495404628602,0.2677849155303705,0.0,0.0,0.0,0.0,0.004314437681244231,0.004224937978808839,0.0026981185856027753,0.008630300382679939,6.256874429383942e-10,2.272659365157959e-10,0.00017389573870414581,0.0019689780213533155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,0.0046954865470483975,1.1724090765143196,1.0018955904638018,0.006216062433157687,0.006200846006959089,0.05105410608461518,1.0841088221048951,4.864533406136932e-37,3.0868206146104796e-38,2.3767141200058323e-36,3.424545651731492e-36,1.7892183968277184e-07,2.0476070769402493e-07,5.510129769479473e-38,1.1038626638190544e-37,2.889392234491142e-38,8.008342250902327e-38,0.0024601673727890263,0.0013404660778743912,1.7276552714722097e-38,2.497925495497361e-38,6.25633801731401e-39,1.6358197753142185e-38,8.004565408482654e-06,8.20259650598464e-06,4.340853373540474e-07,6.101160436615576e-07,1.1666358397962332e-12,2.8899463535922923e-13,1.1072481962153271e-07,4.4484893640126045e-08,0.0,0.0,0.0,0.0,0.0004176289086943893,0.00046100816239859544,0.0,0.0,0.0,0.0,0.3486649720029646,0.25212727162994253,0.0,0.0,0.0,0.0,0.005177068343528651,0.005361543413648937,0.0033613113984433136,0.007192190696076171,7.895526515842675e-10,3.240763593320686e-10,0.00020938616505133007,0.002034477324340864,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
600,0.00409502409529641,1.2084019002805186,1.0019635025704652,0.006269025601080189,0.006193918192530473,0.05274809151054467,1.1200797691179247,9.996293756797343e-38,2.1838552732851684e-37,4.201014771747308e-37,3.4943406288115656e-36,1.9724141541087338e-07,2.0299344369827394e-07,1.7196268402065228e-37,2.6375154496575076e-37,1.5657952094937502e-38,4.4081217522039215e-38,0.0024051391776776826,0.0012912943171348081,2.5541747368941306e-38,6.074918070851119e-38,9.229467363878117e-39,1.6346718316122436e-38,1.0025864381654879e-05,1.0411002646777897e-05,2.606674530148479e-07,3.603077151750507e-07,1.4797657694028954e-12,3.527529913778906e-13,7.797997072436799e-08,3.7838440404614125e-08,0.0,0.0,0.0,0.0,0.0004490038405891999,0.0004567198541197545,0.0,0.0,0.0,0.0,0.33813633469016496,0.24238271055116925,0.0,0.0,0.0,0.0,0.005779160337997705,0.006047137873437382,0.0025903628674366977,0.004998947385868959,8.891634783816674e-10,3.472722610970832e-10,0.0001737974951737279,0.0019839347497584655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,0.0038335703165258157,1.252240171055988,1.0019829467052452,0.006304520499816532,0.006188740552365698,0.05481308609292048,1.1639289130171857,2.5658837626542745e-37,3.063081138853639e-36,2.986490335057874e-37,4.4360218064156075e-36,1.9222707034619352e-07,1.9936925520947767e-07,1.0382002840660906e-37,1.3812058622161878e-37,2.4485639163124407e-38,8.490191619806288e-38,0.002365145479694016,0.0012600915614868076,6.116244044122215e-38,4.874455944510877e-38,1.8642605720072216e-38,5.95553192584573e-38,1.2395633137251507e-05,1.2911914306741885e-05,1.496665132231362e-07,1.551445646287053e-07,1.7856957622151992e-12,4.007970394857037e-13,7.240813133320241e-08,2.2129058760450395e-08,0.0,0.0,0.0,0.0,0.0004399784133838031,0.00045237575329477674,0.0,0.0,0.0,0.0,0.330129315460189,0.23432630714399816,0.0,0.0,0.0,0.0,0.006477577257047979,0.006764903732826241,0.0017594269885154975,0.0025451776824603495,9.80826339943093e-10,3.542920055063332e-10,0.00016673842915801827,0.0014280519913557757,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
800,0.003722408246462468,1.3039916043271724,1.0019839822223446,0.006341845937055674,0.006182408034930323,0.05725163521157881,1.2157103036910744,8.862125379246152e-38,3.8411573800522194e-36,4.037576287178633e-37,3.974089260740912e-36,1.8963633722409228e-07,1.9682293792398658e-07,1.2783501065192377e-37,5.312683452739792e-38,1.355506272588225e-37,1.1240951715663618e-37,0.002333870663564115,0.0012414213136125454,1.327022919482973e-38,6.538687326448974e-38,8.357209516580634e-39,6.942767993699221e-38,1.4843928481820765e-05,1.5454459510073294e-05,1.0990252826367493e-07,9.808523315016689e-08,2.0738731571399073e-12,4.4423305420655174e-13,6.686237522156809e-08,1.6347877608673815e-08,0.0,0.0,0.0,0.0,0.00043526642733761773,0.0004498013364993173,0.0,0.0,0.0,0.0,0.3239385781888819,0.22757764968920557,0.0,0.0,0.0,0.0,0.007170166743911701,0.007447426903658277,0.001353018000039099,0.0016175845630271527,1.0604253968149872e-09,3.578963723276345e-10,0.00015991321755215343,0.0011043284207313128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
900,0.00369406057457269,1.334644875792199,1.0019790816199643,0.006358439631945872,0.006180681031450728,0.058696125416620844,1.2463833424498918,2.3661415585106436e-37,1.683895657552927e-36,2.605150611909953e-37,1.68036917450046e-35,1.8787133950353095e-07,1.9474564842994303e-07,3.001184014443153e-37,4.982075666571023e-37,1.311984856987102e-37,2.7275862626334053e-38,0.0023185221220148214,0.001235253047043079,1.2604708833609788e-37,5.588189941213765e-38,6.749908967612354e-39,1.6530389308438418e-37,1.6198919189213764e-05,1.684635277586882e-05,9.449741637941789e-08,9.089565140927125e-08,2.2164757577304813e-12,4.642497560799207e-13,6.326811510757951e-08,1.4049004999424447e-08,0.0,0.0,0.0,0.0,0.0004325966156901675,0.0004477140676709671,0.0,0.0,0.0,0.0,0.3208860172088633,0.2244213279736658,0.0,0.0,0.0,0.0,0.007544332674870501,0.007804278663405458,0.0011594682698908444,0.00172406674091942,1.097767998641922e-09,3.579070142800648e-10,0.0001554613043575103,0.0009193547731950026,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000,0.003690602977634952,1.3391508595197479,1.001978269610293,0.0063616572522953154,0.006180021096828086,0.05890848510167642,1.250892695872839,4.4260117373343864e-37,8.14764521913698e-37,4.9780865622066605e-37,1.961257223049292e-35,1.8762470917053771e-07,1.943652118914157e-07,2.6815964878133434e-37,4.475143727778912e-37,6.047654407929215e-38,5.473396692055048e-38,0.0023164520861039097,0.0012344571195229213,3.048938472445308e-38,3.512707728043164e-38,9.413855821007833e-39,7.806035110049596e-38,1.6393727203011974e-05,1.7046668229550015e-05,9.377755225513136e-08,9.009656536417079e-08,2.2368408958360626e-12,4.674625459525394e-13,6.269706131963223e-08,1.3935532078331327e-08,0.0,0.0,0.0,0.0,0.00043225820978199915,0.000447274269942408,0.0,0.0,0.0,0.0,0.3204925482459789,0.22396419604705145,0.0,0.0,0.0,0.0,0.007596999483563428,0.007854909045224541,0.0011553828516888763,0.0017183810063705457,1.1029371004172088e-09,3.5831002868643787e-10,0.0001547441904857784,0.000916765253413554,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
