epoch,total,score,R_plus_T,t_minus1,t_plus1,total_complex_l2,scattered_complex_l2,loss_pde_air_0,loss_pde_air_1,loss_pde_air_2,loss_pde_air_3,loss_pde_air_4,loss_pde_air_5,loss_pde_ridge_0,loss_pde_ridge_1,loss_pde_ridge_2,loss_pde_ridge_3,loss_pde_ridge_4,loss_pde_ridge_5,loss_pde_substrate_0,loss_pde_substrate_1,loss_pde_substrate_2,loss_pde_substrate_3,loss_pde_substrate_4,loss_pde_substrate_5,loss_horizontal_E,loss_horizontal_Hx,loss_vertical_E,loss_vertical_Hz,loss_top_DtN,loss_bottom_DtN,grad_pde_air_0,grad_pde_air_1,grad_pde_air_2,grad_pde_air_3,grad_pde_air_4,grad_pde_air_5,grad_pde_ridge_0,grad_pde_ridge_1,grad_pde_ridge_2,grad_pde_ridge_3,grad_pde_ridge_4,grad_pde_ridge_5,grad_pde_substrate_0,grad_pde_substrate_1,grad_pde_substrate_2,grad_pde_substrate_3,grad_pde_substrate_4,grad_pde_substrate_5,grad_horizontal_E,grad_horizontal_Hx,grad_vertical_E,grad_vertical_Hz,grad_top_DtN,grad_bottom_DtN,weight_pde_air_0,weight_pde_air_1,weight_pde_air_2,weight_pde_air_3,weight_pde_air_4,weight_pde_air_5,weight_pde_ridge_0,weight_pde_ridge_1,weight_pde_ridge_2,weight_pde_ridge_3,weight_pde_ridge_4,weight_pde_ridge_5,weight_pde_substrate_0,weight_pde_substrate_1,weight_pde_substrate_2,weight_pde_substrate_3,weight_pde_substrate_4,weight_pde_substrate_5,weight_horizontal_E,weight_horizontal_Hx,weight_vertical_E,weight_vertical_Hz,weight_top_DtN,weight_bottom_DtN
100,5975579.34064754,1.0865878132876863,1.000191532592815,0.006389160166303682,0.00635319028381669,0.04710808748607682,1.0003170587592523,4.8904195366164656e-39,4.283264937993809e-40,2.1538293708303876e-38,9.790031591158902e-40,7.228963291622984e-09,8.273842428912568e-09,1.0934163761310829e-39,1.6874772419030885e-39,8.771007347901895e-41,2.565385124608729e-40,0.0030748680046737593,0.0022177005961382854,3.056848522016729e-40,7.820366469703939e-41,6.121992730942261e-41,1.708463087704817e-41,8.619277113397795e-08,7.051322385125642e-08,1.2874569366357669e-06,3.3979932542053722e-06,8.190313432394819e-16,6.77622632060819e-15,6.810300011670295e-09,4.4222744621927503e-07,0.0,0.0,0.0,0.0,95380862.59263305,91005664.58316001,0.0,0.0,0.0,0.0,141.8063974639918,155.11809135497103,0.0,0.0,0.0,0.0,648774013.3447347,592427077.460015,6929962190.148804,18804963974.358692,11.118612639269342,58.962202045497364,57329095.41977868,6476232275.035587,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,2892712.726913651,1.0865073739999138,1.0001870513110824,0.00637031836497517,0.006342523615022786,0.04710312073684226,1.0002115922830899,4.548906285278936e-39,2.7281599542247e-40,1.636393747165206e-38,1.0748519740757077e-40,9.123105206959744e-09,5.703144159197615e-09,4.572072551491154e-40,4.0482952114958235e-40,1.8743768258808753e-41,2.319429218150437e-41,0.0031516943422819836,0.0022604163460737342,2.098584580172846e-41,1.6053275207305104e-41,1.0269415795804422e-41,3.3586321592937216e-41,1.001105446482421e-08,7.219110824316645e-09,4.236703131648228e-07,1.4876108192663933e-06,5.490135996640541e-16,8.687874412032731e-16,1.0163113128600753e-08,7.0111567761692e-08,0.0,0.0,0.0,0.0,86870687.24875784,80934114.01939972,0.0,0.0,0.0,0.0,139.19457665355003,151.17989834049982,0.0,0.0,0.0,0.0,202576971.06217808,172357240.07114848,3783915229.6758585,12835764752.291946,12.61342475098467,22.11888683580208,68022970.661814,2513236142.431339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
300,1971613.0659611416,1.0867057200695194,1.0001448459825173,0.006438540487037579,0.00634742987920292,0.0471178929079228,1.0005252720675033,2.540004806822878e-39,1.7391354091411907e-39,1.6560702196818693e-38,3.402397512931514e-39,5.578999773585562e-09,1.0418192986484542e-08,3.501228291023415e-40,1.4081368008307222e-40,4.699394529959707e-41,3.6590705500449623e-41,0.0031537446609602206,0.0022650048045103352,5.241977295346276e-41,1.470802868155328e-40,9.78113334591044e-41,1.8385736501173762e-41,2.165499477180102e-08,2.1705932807556217e-08,5.937067153690493e-07,1.8504006621668276e-06,8.995916335077282e-16,2.3187833196170514e-15,8.548570427168482e-09,2.0131400086163622e-07,0.0,0.0,0.0,0.0,72797967.86042206,92485199.51537028,0.0,0.0,0.0,0.0,130.00091077826977,141.66759801024008,0.0,0.0,0.0,0.0,288411920.6872121,260396116.69131505,4344647338.324627,13415498317.545216,15.040916805236778,37.78579067719888,58000479.722064674,4061398364.55262,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
400,1106996.1194998482,1.0869151886846884,1.0001440709481881,0.006432465120645674,0.00635925569553975,0.047128064751783647,1.0007412661669464,3.065368416679824e-39,1.0275889794709603e-39,3.129581517509044e-39,1.0597403714364289e-39,2.8111205337643647e-09,2.3682930136514845e-09,3.1285950033901596e-40,1.0690225724641164e-40,3.104156358172335e-41,1.0582606002581019e-41,0.003140326345549269,0.002267009248069398,3.179265955860145e-41,4.381019518865108e-41,1.6725898470181017e-41,8.083390191457707e-42,1.0421591615149083e-08,8.889323174568416e-09,2.520226599952132e-07,7.927351383460057e-07,6.557253035872315e-16,7.870639099888049e-16,3.67983557913805e-09,1.108762061027497e-07,0.0,0.0,0.0,0.0,44901387.227556884,45542256.494421154,0.0,0.0,0.0,0.0,124.03195065950469,136.08696827792576,0.0,0.0,0.0,0.0,183334502.69735295,152001833.08736497,2742628085.4527445,8543804581.157037,14.944862990970433,22.10923551034359,36827506.95692561,2841042618.8684835,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,536448.4814467619,1.086786030963198,1.000093450808233,0.00643295562416343,0.0063588528895883924,0.04712437029914494,1.0006628162829774,1.0166504436584407e-39,9.449011596880815e-40,4.3698091311505096e-40,1.20440818281578e-38,1.1757587408252205e-09,1.3997209739178456e-09,1.0618479243267734e-40,3.8249842882210207e-41,2.1350884051685075e-41,1.0582606002581019e-41,0.0031397272996583595,0.0022691162787119882,3.946056475538685e-42,3.5335142076414587e-41,1.732004901905474e-41,1.1210387714598537e-41,6.947795983583457e-09,5.775055631879046e-09,1.3234492066715146e-07,3.922579277478303e-07,3.164052208352279e-16,5.027320313227995e-16,2.366385153205514e-09,9.723927597648967e-08,0.0,0.0,0.0,0.0,29846025.363522742,29192944.114569858,0.0,0.0,0.0,0.0,120.38808403122484,132.50779464915155,0.0,0.0,0.0,0.0,145468899.1697268,118521397.89619601,1941066414.0698016,5823784201.471724,10.418836982392298,18.858194829999043,28897062.255678147,2683836684.0851808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
600,233978.02476428772,1.0865343086697048,1.0001242017209833,0.006415752124325816,0.0063579035358884975,0.047110212869157356,1.0003621902231965,1.9916823229264344e-39,9.881284147155734e-40,6.90219087432746e-39,1.7150996372318593e-39,1.0292584312875398e-09,1.2275661664500504e-09,4.1792325400023344e-41,3.3362113838645245e-41,8.968310171678829e-42,1.9105303262604556e-41,0.003143147608191658,0.0022814089777272346,1.5974802493302915e-41,1.8833451360525541e-41,3.946056475538685e-42,4.7756251664189766e-42,2.0948646985824384e-09,1.7607570215675623e-09,5.971503921259692e-08,1.6985197395753706e-07,1.4444093525235327e-16,4.4925499596892e-16,2.065360199767783e-09,3.0351821002905355e-08,0.0,0.0,0.0,0.0,28689603.953937575,27840060.57411687,0.0,0.0,0.0,0.0,118.41839866793138,131.10870132663726,0.0,0.0,0.0,0.0,75510709.58694167,60453431.14597932,1277117512.3329937,3634405812.8115907,6.848447065600302,18.23777852293222,26630143.756668307,1443574501.3722494,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,100698.02261338179,1.0864127280288487,1.0001081462639794,0.0063934995667832865,0.006358459002237841,0.047104221570688005,1.000234967948151,1.2261473666719295e-39,2.7931802029693714e-40,3.1385946692315815e-39,3.0795383467510764e-39,3.9722681108983573e-10,4.1885491512654915e-10,2.457316987039999e-41,2.2488037755484664e-41,2.8250177040788312e-42,5.249264047360765e-42,0.003144046798566031,0.0022843462478013095,2.5223372357846707e-42,9.304621803116785e-43,2.6008099497868605e-42,1.0089348943138683e-42,4.488607952952041e-10,4.1654020939367924e-10,1.8446283748584273e-08,5.1064862773145956e-08,6.074317543833076e-17,1.562032046331101e-16,6.787432927265203e-10,5.244870756656271e-09,0.0,0.0,0.0,0.0,17674691.539509483,17797257.148585796,0.0,0.0,0.0,0.0,117.4003364584319,130.2676208632501,0.0,0.0,0.0,0.0,32886943.273267172,28160927.147848208,683782138.7393401,1892737805.0810716,5.257282982446311,10.575117933542389,15081293.564180465,481602266.91401106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
800,67771.60690354477,1.0864634143528595,1.000103658790491,0.006385336621072629,0.00637871212171307,0.04710738924339258,1.0003022319194148,2.0089014784560578e-41,9.536901036563267e-40,3.2648684764488194e-39,8.338734797626975e-40,7.117540750872366e-10,1.4895498335140714e-09,1.0044507392280289e-41,3.318274763521167e-41,1.0874513988930682e-42,5.843414596234487e-42,0.0031410924733389417,0.002279993013207259,1.3750241181187268e-43,4.933145345746614e-43,1.1826959038901456e-42,6.994230960061243e-43,3.613042865473711e-11,6.009979073808772e-11,9.328174253156107e-09,2.8286970059742237e-08,5.033366581097909e-17,6.168094356072095e-17,1.2692024647045735e-08,6.768944487505026e-10,0.0,0.0,0.0,0.0,10023712.087931678,18118542.227461115,0.0,0.0,0.0,0.0,116.95817524422354,129.8991111733816,0.0,0.0,0.0,0.0,7478250.614295238,11581244.225857427,497854854.5510028,1500156614.523361,4.67410008375911,6.086513650837292,64777367.62714786,194846626.02656737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
900,1892.3304818318088,1.0863869656300973,1.0000816817492832,0.006379488273108242,0.006378974820196924,0.04710456095412189,1.0002421745883798,7.863526462405143e-40,4.371154377676261e-40,4.715985903777312e-40,3.247963211775205e-39,6.79560409593496e-12,5.364485602232417e-12,2.887795875280583e-41,2.0268380987994154e-41,3.7135093532373436e-44,9.360783218132303e-43,0.003141469947421354,0.0022805446270099195,3.90962271546624e-43,3.117889083122718e-44,3.3642110788048147e-44,6.165713243029195e-44,3.880989647488897e-11,6.679421146646539e-11,7.260198736088713e-10,1.9407775136773558e-09,9.10553061958149e-18,1.1096315785544437e-17,1.5856041926776176e-11,3.401540482426797e-10,0.0,0.0,0.0,0.0,2194083.749467252,1919635.1423752022,0.0,0.0,0.0,0.0,116.83839507427106,129.7179710338383,0.0,0.0,0.0,0.0,9984440.560489772,14669965.264165405,139556823.6552252,400272174.3414038,2.2466168144933536,3.24976019183205,2286654.069978659,174611744.42090634,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1000,179.2433650808341,1.0863753645672867,1.0000876866015982,0.0063779863652978904,0.006377304271137106,0.047103582435004156,1.0002213962163842,1.184293384139476e-40,9.344110393841459e-40,3.135545443773211e-39,1.3940341330857572e-39,2.133629764508618e-12,1.140609199910676e-12,1.064986832886861e-41,5.0362666807833926e-42,4.2928450025263195e-44,7.707141553786494e-43,0.003141368556186799,0.002280709781944216,2.0538464845526384e-44,2.1906236149327804e-44,1.3315072322148897e-44,1.423210858524037e-44,4.768120837328491e-12,1.5956936235237824e-11,7.952719778626706e-11,6.518938732280217e-11,5.096273393506729e-18,7.806984936716633e-18,8.095978959744354e-12,4.3188087808342077e-13,0.0,0.0,0.0,0.0,784301.1973291165,360229.65589986386,0.0,0.0,0.0,0.0,116.82553336827426,129.67564949427185,0.0,0.0,0.0,0.0,2992933.6623757635,6534398.025096536,35516329.98240655,38311702.33476608,1.8003780701488727,2.808755805215092,1633925.2560935516,6391067.610726874,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
