epoch,total,score,R_plus_T,t_minus1,t_plus1,total_complex_l2,scattered_complex_l2,loss_pde_air_0,loss_pde_air_1,loss_pde_air_2,loss_pde_air_3,loss_pde_air_4,loss_pde_air_5,loss_pde_ridge_0,loss_pde_ridge_1,loss_pde_ridge_2,loss_pde_ridge_3,loss_pde_ridge_4,loss_pde_ridge_5,loss_pde_substrate_0,loss_pde_substrate_1,loss_pde_substrate_2,loss_pde_substrate_3,loss_pde_substrate_4,loss_pde_substrate_5,loss_horizontal_E,loss_horizontal_Hx,loss_vertical_E,loss_vertical_Hz,loss_top_DtN,loss_bottom_DtN,grad_pde_air_0,grad_pde_air_1,grad_pde_air_2,grad_pde_air_3,grad_pde_air_4,grad_pde_air_5,grad_pde_ridge_0,grad_pde_ridge_1,grad_pde_ridge_2,grad_pde_ridge_3,grad_pde_ridge_4,grad_pde_ridge_5,grad_pde_substrate_0,grad_pde_substrate_1,grad_pde_substrate_2,grad_pde_substrate_3,grad_pde_substrate_4,grad_pde_substrate_5,grad_horizontal_E,grad_horizontal_Hx,grad_vertical_E,grad_vertical_Hz,grad_top_DtN,grad_bottom_DtN,weight_pde_air_0,weight_pde_air_1,weight_pde_air_2,weight_pde_air_3,weight_pde_air_4,weight_pde_air_5,weight_pde_ridge_0,weight_pde_ridge_1,weight_pde_ridge_2,weight_pde_ridge_3,weight_pde_ridge_4,weight_pde_ridge_5,weight_pde_substrate_0,weight_pde_substrate_1,weight_pde_substrate_2,weight_pde_substrate_3,weight_pde_substrate_4,weight_pde_substrate_5,weight_horizontal_E,weight_horizontal_Hx,weight_vertical_E,weight_vertical_Hz,weight_top_DtN,weight_bottom_DtN
100,5975579.34064754,1.0865878132876863,1.000191532592815,0.006389160166303682,0.00635319028381669,0.04710808748607682,1.0003170587592523,4.8904195366164656e-39,4.283264937993809e-40,2.1538293708303876e-38,9.790031591158902e-40,7.228963291622984e-09,8.273842428912568e-09,1.0934163761310829e-39,1.6874772419030885e-39,8.771007347901895e-41,2.565385124608729e-40,0.0030748680046737593,0.0022177005961382854,3.056848522016729e-40,7.820366469703939e-41,6.121992730942261e-41,1.708463087704817e-41,8.619277113397795e-08,7.051322385125642e-08,1.2874569366357669e-06,3.3979932542053722e-06,8.190313432394819e-16,6.77622632060819e-15,6.810300011670295e-09,4.4222744621927503e-07,0.0,0.0,0.0,0.0,95380862.59263305,91005664.58316001,0.0,0.0,0.0,0.0,141.8063974639918,155.11809135497103,0.0,0.0,0.0,0.0,648774013.3447347,592427077.460015,6929962190.148804,18804963974.358692,11.118612639269342,58.962202045497364,57329095.41977868,6476232275.035587,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
200,289271.27269131894,1.0865073739999007,1.0001870513110829,0.00637031836497517,0.006342523615022766,0.04710312073684162,1.0002115922830763,1.81393041532376e-39,2.5326507924821014e-40,1.4607583607630477e-39,1.0391693099801405e-39,9.12310520696179e-09,5.7031441591994514e-09,4.3947522438154913e-41,5.998005842818801e-40,3.054830652228101e-41,1.823089302086587e-41,0.003151694342281992,0.0022604163460737355,8.058306948946293e-41,5.833885766677078e-41,1.946123307254306e-41,2.588776299224471e-41,1.0011054464824888e-08,7.21911082431702e-09,4.2367031316494675e-07,1.487610819266831e-06,5.490135996643822e-16,8.687874412030183e-16,1.0163113128602821e-08,7.011156776169631e-08,0.0,0.0,0.0,0.0,86870687.2487714,80934114.01940662,0.0,0.0,0.0,0.0,139.19457665355046,151.17989834049976,0.0,0.0,0.0,0.0,202576971.06218734,172357240.0711517,3783915229.676407,12835764752.293858,12.613424750989152,22.118886835802943,68022970.6618209,2513236142.4314313,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
300,197161.30659896292,1.0867057200695114,1.0001448459825169,0.006438540487037778,0.006347429879202499,0.04711789290792242,1.0005252720674955,3.226618633566609e-39,2.9057395021162623e-40,6.044641055711531e-41,2.419650084318948e-40,5.5789997734766975e-09,1.0418192986335421e-08,5.969307250269429e-40,3.0510191204051377e-40,1.884466174824014e-41,2.9236691159672983e-41,0.0031537446609599578,0.0022650048045101965,6.403373462578684e-41,7.174648137343063e-41,3.0895828541433567e-41,8.519894663094888e-42,2.165499477160794e-08,2.170593280731519e-08,5.937067153604214e-07,1.8504006621383999e-06,8.995916334931577e-16,2.3187833196051984e-15,8.548570427041012e-09,2.0131400085922252e-07,0.0,0.0,0.0,0.0,72797967.85974203,92485199.51465486,0.0,0.0,0.0,0.0,130.00091077824905,141.66759801022778,0.0,0.0,0.0,0.0,288411920.6858119,260396116.68989274,4344647338.293172,13415498317.436907,15.040916805085708,37.78579067714214,58000479.7216291,4061398364.524337,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
400,110699.61194977866,1.0869151886846924,1.0001440709481868,0.00643246512064571,0.006359255695539811,0.04712806475178389,1.0007412661669517,3.538895193744466e-40,3.946773940352419e-39,1.771599991313436e-39,4.8927961388119605e-39,2.8111205337498283e-09,2.3682930136316656e-09,3.4797043466113858e-40,6.457183323608757e-41,2.4396606263895065e-41,2.3317606446364956e-42,0.003140326345549272,0.002267009248069403,2.5167320419273715e-41,8.650215420277096e-41,4.5559015672128453e-41,8.11912330229799e-42,1.0421591615170341e-08,8.88932317458528e-09,2.5202265999550227e-07,7.927351383469886e-07,6.55725303588519e-16,7.870639099877283e-16,3.679835579103075e-09,1.1087620610298684e-07,0.0,0.0,0.0,0.0,44901387.22755307,45542256.494135804,0.0,0.0,0.0,0.0,124.03195065950077,136.0869682779206,0.0,0.0,0.0,0.0,183334502.6976092,152001833.0875504,2742628085.4542103,8543804581.162619,14.944862990978606,22.109235510321305,36827506.956749715,2841042618.87285,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
500,53644.84814466172,1.0867860309632067,1.000093450808232,0.006432955624163508,0.006358852889588409,0.047124370299145395,1.0006628162829874,2.494625157354183e-39,8.623927061086362e-40,1.7716448328642943e-39,1.3461119676833914e-38,1.175758740838333e-09,1.3997209739174192e-09,1.5286484687626564e-40,6.637670565813794e-41,3.1209719397442326e-41,7.174648137343063e-42,0.0031397272996583608,0.002269116278711991,4.3230057624420607e-41,8.035605913824231e-41,4.2016533154315315e-41,1.2379771283077596e-41,6.94779598356565e-09,5.775055631863755e-09,1.3234492066709995e-07,3.9225792774783966e-07,3.1640522083550104e-16,5.027320313224083e-16,2.366385153230017e-09,9.723927597618293e-08,0.0,0.0,0.0,0.0,29846025.363577124,29192944.114553988,0.0,0.0,0.0,0.0,120.38808403122071,132.50779464914743,0.0,0.0,0.0,0.0,145468899.16948366,118521397.89599873,1941066414.0694947,5823784201.471982,10.418836982392728,18.858194829997135,28897062.25582701,2683836684.079393,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
600,23397.8024764283,1.086534308669724,1.0001242017209817,0.006415752124325895,0.006357903535888475,0.04711021286915834,1.0003621902232172,3.078372466428758e-40,7.461914322529651e-41,1.3154717359818507e-39,4.0868589452340425e-39,1.0292584312915886e-09,1.2275661664495049e-09,7.282267859403209e-41,3.9819997811486164e-41,5.5715626941554727e-42,2.0313222538852548e-41,0.003143147608191649,0.0022814089777272208,1.524612729185401e-41,4.360843557889894e-42,2.2420775429197073e-42,7.253120851345253e-42,2.0948646985825803e-09,1.760757021568832e-09,5.9715039212635e-08,1.6985197395763696e-07,1.4444093525220952e-16,4.49254995969163e-16,2.0653601997716573e-09,3.035182100281591e-08,0.0,0.0,0.0,0.0,28689603.953979697,27840060.57411799,0.0,0.0,0.0,0.0,118.41839866792716,131.10870132663229,0.0,0.0,0.0,0.0,75510709.58692081,60453431.14598968,1277117512.333588,3634405812.8127894,6.8484470655885,18.237778522939454,26630143.756692987,1443574501.3685095,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
700,10069.802261335231,1.0864127280288558,1.0001081462639783,0.0063934995667832865,0.006358459002237841,0.047104221570688394,1.0002349679481592,2.240687454843097e-39,4.433932548878013e-40,3.2264392673631756e-39,1.2597426565750384e-38,3.972268110905009e-10,4.1885491512679297e-10,3.1972025762035026e-41,4.328330696606495e-41,1.493784162970255e-42,1.0369619583647899e-41,0.003144046798566033,0.0022843462478013095,4.8232693142060204e-42,5.275888718182936e-43,2.110530649581215e-42,2.581191771286313e-42,4.488607952955889e-10,4.165402093939845e-10,1.8446283748591214e-08,5.1064862773161646e-08,6.074317543825795e-17,1.5620320463314065e-16,6.787432927410464e-10,5.244870756660401e-09,0.0,0.0,0.0,0.0,17674691.539475016,17797257.148585368,0.0,0.0,0.0,0.0,117.40033645842801,130.26762086324595,0.0,0.0,0.0,0.0,32886943.273280542,28160927.147856805,683782138.7395262,1892737805.081429,5.257282982442666,10.575117933548723,15081293.564341767,481602266.91407907,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
800,6777.20033388552,1.0864634140423368,1.0001036587816932,0.006385336680875726,0.006378712205785037,0.047107389235958946,1.000302231761565,1.3590577234162098e-39,1.4902192596770127e-39,6.2473248655914725e-40,3.27881419876578e-40,7.117534442121706e-10,1.4895608027335958e-09,1.7409732120771527e-41,2.744302912533722e-41,7.74392563847502e-43,9.096178656548469e-43,0.003141092459854452,0.00227999297214589,3.7012890453404485e-43,5.394999087650546e-43,8.526901155416512e-43,4.976361171433507e-43,3.6130222873311035e-11,6.00994409787582e-11,9.328103873534208e-09,2.8286724146189623e-08,5.033366024156958e-17,6.168081750959938e-17,1.269210799188188e-08,6.769107129128695e-10,0.0,0.0,0.0,0.0,10023657.081601718,18118546.329369888,0.0,0.0,0.0,0.0,116.95817477857652,129.89910865364607,0.0,0.0,0.0,0.0,7478152.313268933,11581117.593093447,497852795.65104985,1500149017.2212462,4.674098731818355,6.086509179418953,64777580.08485977,194850380.0474646,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
900,189.2734843428186,1.0863869661677104,1.0000816825470316,0.006379488014974393,0.006378974747555163,0.04710456092629403,1.000242173997469,9.678712441152939e-40,1.76841624120249e-39,6.021323449265166e-40,9.099785598795641e-39,6.794422541891937e-12,5.363735828944531e-12,1.0818024144587588e-41,2.1882676818896343e-41,6.165986934135509e-44,2.802596928649634e-43,0.0031414698963149372,0.00228054462147391,4.294979793155564e-43,1.1912131711186199e-43,5.009915701067534e-44,8.272039997217436e-44,3.880507706974377e-11,6.67875208922329e-11,7.259100171881724e-10,1.9404208274884542e-09,9.105054976796203e-18,1.1095564765688435e-17,1.5856119217209728e-11,3.4008370022370947e-10,0.0,0.0,0.0,0.0,2193833.1010656487,1919423.1707160792,0.0,0.0,0.0,0.0,116.8383938608997,129.71796706450525,0.0,0.0,0.0,0.0,9983755.406064725,14669178.23127874,139545815.57152665,400234331.18362015,2.246585036831297,3.2496592146394696,2286659.6385811507,174593216.74062297,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1000,17.9241226354182,1.086375363086151,1.000087686478874,0.006377986377243652,0.006377304266221823,0.04710358237136336,1.0002213948650032,8.11632070536934e-42,1.113684757119077e-39,3.172898455638253e-39,7.351906787886295e-39,2.1336039497649858e-12,1.1405930337187339e-12,1.8833451360525541e-41,2.1703310615462767e-41,6.345254608770812e-44,3.622356530279652e-43,0.0031413685897816526,0.0022807098398764042,9.708370923150373e-44,1.7168643099042144e-44,1.891752926838503e-44,1.6596628686847052e-44,4.768021622445306e-12,1.5956763753530843e-11,7.952624381910584e-11,6.518856492593143e-11,5.096241686952306e-18,7.806928256473043e-18,8.095896887624987e-12,4.3190511809231087e-13,0.0,0.0,0.0,0.0,784293.6401348073,360224.9740533964,0.0,0.0,0.0,0.0,116.82553464702411,129.67565142138304,0.0,0.0,0.0,0.0,2992902.8941915035,6534358.275336287,35516087.70094074,38311417.11109253,1.8003727960616016,2.808745677519394,1633916.970899913,6391225.502939886,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,2.0,2.0,2.0,2.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
