epoch,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,E_int,H_int,total,head_norm,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2
1,0.0,0.0009061328613077877,0.0,0.0,0.0,0.0,0.0,0.0009061328613077877,0.0070994422916669684,0.00637755102040808,0.006377551020408138,1.0000597770885533,0.04709315618840033,0.99999999999987
100,5.817419848905868e-07,0.00029679823087305334,1.0986330497428542e-05,1.4050984944487728e-06,1.2884057151755703e-05,8.277930147324558e-05,8.514735466892771e-05,0.0004905821244691503,0.14904721151136044,0.006177094433106559,0.006465449279602565,1.0065158341033915,0.052049422779970024,1.1052438823963073
200,1.5874430996437738e-06,0.00030860102971670645,1.986859396314198e-05,3.7284967347173977e-06,1.8653336771918484e-05,6.815301647365665e-05,0.00019568928958536272,0.0006162812147960131,0.3121616265448266,0.006212368398593819,0.006352002276433914,1.0050894631761835,0.0791656526192162,1.681043680795076
300,8.497510226148269e-07,0.00026593605308353007,1.5629532217245653e-05,2.5275510149334965e-06,3.2299180322068314e-06,3.775232652083644e-05,6.468205365298723e-05,0.00039060719434819797,0.4570751498968596,0.005772422504848761,0.006335072489257976,1.005201809018917,0.11363863877680608,2.413060579804205
400,8.65484628993624e-07,0.00025044542797221606,1.7925054645915213e-05,2.616886607027174e-06,8.47927334111427e-07,3.47888737286706e-05,3.348075574607446e-05,0.000340970419999106,0.5825124100147756,0.005793010575062751,0.006027765179763194,1.0043963843942743,0.1509139761042252,3.204584027039107
500,6.520199890320474e-07,0.0002337801482650636,2.159191141153442e-05,2.1890867319683024e-06,7.504342742806823e-07,3.0110308408334808e-05,3.079274865340367e-05,0.00031986666714346686,0.6863880330351962,0.005832446513686964,0.005840170177753986,1.0032772854641177,0.18895594576811148,4.012386534726022
600,5.655039109877148e-07,0.00022138564763627135,2.4409808832590253e-05,1.9299665938054178e-06,7.092095576766674e-07,2.6991621872352177e-05,2.937102154105468e-05,0.00030536278921358695,0.7645542027826527,0.005773992507980097,0.005617975347875889,1.002499726178657,0.22297906095914638,4.734850645114335
700,5.55671402633518e-07,0.00021413202229166248,2.6231099595221894e-05,1.8226881230830335e-06,6.958850849660406e-07,2.5028456432046182e-05,2.7892344365178978e-05,0.0002963581765326249,0.8153467511026491,0.005667322415429744,0.005415562517695951,1.002109367960657,0.24881316983185908,5.283425235642047
800,5.625751325647732e-07,0.00021029281300724792,2.7290899043218227e-05,1.7742931167542252e-06,6.897149013707487e-07,2.3927377024013358e-05,2.6835633564276607e-05,0.0002913733150518107,0.8426206917493768,0.005588334998645222,0.0052838753024435055,1.001930481561908,0.2646506707404581,5.619726774770952
900,5.674638226345887e-07,0.0002087795781344125,2.772758497045775e-05,1.7562665162568184e-06,6.871116521364584e-07,2.3484256593932046e-05,2.637427246513453e-05,0.0002893765434350962,0.8530092787089528,0.00555304939872955,0.005227630735010677,1.0018659395667326,0.2713011314229023,5.760946035077854
1000,5.683195321176719e-07,0.0002085445477252691,2.7796065381340722e-05,1.753564123507943e-06,6.865969201296251e-07,2.3414888935415566e-05,2.630004589555486e-05,0.00028906403779659534,0.8545348077089111,0.005547344189589806,0.005218738231094909,1.0018563222382773,0.27234014729238676,5.783009025830219
