epoch,pde_air,pde_grat,pde_sub,top_DtN,bottom_DtN,E_int,H_int,total,head_norm,t_minus1,t_plus1,R_plus_T,total_complex_l2,scattered_complex_l2
1,5.485568846971271e-07,8.335335859479657e-05,1.806944482940347e-05,2.9920722694804016e-05,4.7437155702971424e-05,2.9405203398679796e-05,3.558033126677762e-05,0.0002443149609584134,6536399.696184972,0.14244925894673116,0.15944646786199002,903342.2114468573,127079.99883814555,2698481.2470358596
100,4.903501304657795e-06,0.00012637528214600065,2.8918027716485465e-05,4.3400820450156325e-05,0.0001879610963587918,0.00029041247982431037,0.0004516190589627609,0.0011335904504274177,6536399.696144024,0.003995489765579534,0.0032461897952246466,903403.3148992221,127080.00009362445,2698481.273695336
200,9.067779026588026e-06,0.00015872096760035468,2.1749334220234416e-05,3.154011275856953e-05,1.1654182448821974e-05,0.00031695249646542076,0.0009532838381783361,0.001502968915559533,6536399.696129272,0.002846974620328131,0.0033016497351863764,903405.7575081518,127080.00010092373,2698481.273850333
300,7.268705959494931e-06,0.00013684436330022392,2.2638502046543416e-05,2.0314701776862705e-05,1.2432308111827573e-05,0.00022179087008999571,0.0006823678849655383,0.0011036575362406615,6536399.696114611,0.0031572386663715393,0.0034731654853508227,903406.5051564864,127080.00018930518,2698481.2757270695
400,6.857597852875057e-06,0.00011653462119202034,2.7118621499190935e-05,1.7976385158787624e-05,2.6164667560980702e-05,0.00016674338028938393,0.0005284003671484623,0.000889795840431721,6536399.696104342,0.0031853807998113654,0.0038850340604015938,903407.2616459648,127080.00023810442,2698481.276763297
500,5.040123214675679e-06,9.787675766604709e-05,2.623563013658994e-05,8.565412180457324e-06,2.39181528415354e-05,6.487945667872985e-05,0.00020728811703767575,0.0004338038410838997,6536399.696097057,0.006065381807248362,0.006281682520348568,903407.899163633,127080.00026956704,2698481.2774313902
600,3.6529304498554055e-06,8.85487921740064e-05,4.639085953734581e-05,4.762571974109934e-06,0.00022416670687525807,1.6087270495366378e-05,4.433523880938656e-05,0.0004279445553992191,6536399.696096004,0.006920901848554071,0.0067742487221325995,903407.9626085276,127080.00030546186,2698481.2781935986
700,3.721211732892031e-06,8.838797898335341e-05,3.580510039351598e-05,4.374784982272137e-06,5.062052897202751e-05,1.4195190861333916e-05,3.4775196386243725e-05,0.00023188017757737152,6536399.696095856,0.005006808236636531,0.0046477170279281485,903408.9359351753,127080.00031460423,2698481.2783877333
800,3.6821364303865508e-06,8.770435437704598e-05,3.0449591401788004e-05,4.08214461040423e-06,1.0221274918359549e-05,1.2443508461348088e-05,2.258400303589631e-05,0.00017116719783655664,6536399.696095705,0.0044170244563022645,0.0041922559457643,903410.1221334883,127080.0003158113,2698481.2784133647
900,3.653478247984795e-06,8.748532915907658e-05,2.7009218558461275e-05,3.8673611256559685e-06,3.9566361463163513e-07,1.3677827426319065e-05,1.8102152256234093e-05,0.00015419121481304848,6536399.696095573,0.004255212141048441,0.004184621221720451,903411.1055720333,127080.00032120288,2698481.278527852
1000,3.6493356902555753e-06,8.74437918334485e-05,2.6950584366441956e-05,3.823978222645352e-06,4.699262834804556e-07,1.3677230741106816e-05,1.796479757212198e-05,0.00015397982913036438,6536399.69609555,0.00427481767182261,0.0042030203630389375,903411.2899074468,127080.00032035242,2698481.2785097924
