label,type,lambda,radius,theta_norm,theta_max,direct_residual_norm,direct_minus_affine_max_abs,reeval_ok,t_minus1_abs,t_plus1_abs,t_minus1_complex_error,t_plus1_complex_error,R_plus_T,total_complex_l2,scattered_complex_l2
tikhonov_lam1e-12,tikhonov,1e-12,,75022163.18254824,31906843.03661484,0.19730817290680816,9.919162380356283e-09,True,0.0016123393688367237,0.0014604767253419385,0.049437751263758614,0.05004592166719137,2219083.486906152,416189.81608413777,8837585.963002343
tikhonov_lam1e-10,tikhonov,1e-10,,61107902.45239699,31045112.64740012,0.2049937733453241,6.902238336436994e-09,True,0.0020893070687033844,0.0008899268245822024,0.048782956425161166,0.05019212823338659,1823573.046591771,364921.64651695034,7748931.608172568
tikhonov_lam1e-08,tikhonov,1e-08,,54547204.17931588,21729695.875731416,0.20990295079317106,6.853740353029991e-09,True,0.0028005794479837105,0.0015337077750937878,0.048666515079529384,0.04996022519965438,1889072.5506811414,353357.11308855476,7503364.431019924
tikhonov_lam1e-06,tikhonov,1e-06,,31946303.12859016,10522879.163544733,0.2159868738811483,6.217036441213963e-09,True,0.0022501110259398726,0.001926240784647036,0.04947677747764766,0.050090100248370226,1521567.1406522356,248329.54847344573,5273155.77405662
tikhonov_lam1e-04,tikhonov,0.0001,,25531621.77350709,8954771.155316487,0.2217136233310736,4.51380643799737e-09,True,0.002340250466411205,0.002386174306373732,0.04966536729814435,0.0504919823400581,1501221.7006570024,256956.71044334353,5456349.313588839
tikhonov_lam1e-02,tikhonov,0.01,,29397632.1243925,9046572.943526264,0.22959946294720243,1.0182073381485857e-08,False,,,,,,,
tikhonov_lam1e+00,tikhonov,1.0,,97336946.20589654,35935447.02452261,0.3319688470172642,2.6073594014538667e-08,False,,,,,,,
trust_r1.0,trust_region,,1.0,128485933828.52489,38136328347.71997,24.59777522885176,0.0002276078242682278,False,,,,,,,
trust_r10.0,trust_region,,10.0,924026480548.6365,381363283477.19977,297.31555716136415,0.0024014628372928115,False,,,,,,,
trust_r100.0,trust_region,,100.0,99305948172703.48,7297139405123.009,642.7027603622575,0.019239468390011893,False,,,,,,,
trust_r1000.0,trust_region,,1000.0,993059481929606.1,72971394051230.1,10567.916185327389,0.2710733878357132,False,,,,,,,
